Adventure Family Fantasy,https://m.media-amazon.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg,tt0000399,"Porter's sequential continuity editing links several shots to form a narrative of the famous fairy tale story of Jack and his magic beanstalk. Borrowing on cinematographic methods reminiscent of 'Georges Melies' , Porter uses animation, double exposure, and trick photography to illustrate the fairy's apparitions, Jack's dream, and the fast growing beanstalk.",3.416666667,20/06/02,10,Jack and the Beanstalk
Action Adventure Western,https://m.media-amazon.com/images/M/MV5BYjgwMTgzNmUtYjA2OC00MjVhLWEzNTEtOWQwNjlmNThhYWMyXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,tt0000439,"The clerk at the train station is assaulted and left tied by four men, then they rob the train threatening the operator. (They) take all the money and shoot a passenger when trying to run away. A little girl discovers the clerk tied and gives notice to the sheriff, who at once goes along with his men hunting the bandits.",3.425,1/12/03,12,The Great Train Robbery
Documentary,https://m.media-amazon.com/images/M/MV5BYTRlNmNhMmQtMjc5NS00Yzk5LWI0NjMtNzA0MTM1YmZmY2Q5L2ltYWdlXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg,tt0000524,"The camera platform was on the front of a New York subway train following another train on the same track. Lighting is provided by a specially constructed work car on a parallel track. At the time of filming, the subway was only seven months old, having opened on October 27, 1904. The ride begins at 14th Street (Union Square) following the route of today's east side IRT, and ends at the old Grand Central Station, built by Cornelius Vanderbuilt in 1869. The Grand Central Station in use today was not completed until 1913.",3.909090909,5/06/05,6,New York Subway
Horror ScienceFiction,https://m.media-amazon.com/images/M/MV5BMTg2NjMyMjgxOF5BMl5BanBnXkFtZTgwOTMyNzM2MzE@._V1_SX300.jpg,tt0001223,"Frankenstein, a young medical student, trying to create the perfect human being, instead creates a misshapen monster. Made ill by what he has done, Frankenstein is comforted by his fiancÃ©e but on his wedding night he is visited by the monster. A fight ensues but the monster, seeing himself in a mirror, is horrified and runs away. He later returns, entering the bride's room, and finds her aloneâ€¦",3.502021563,18/03/10,13,Frankenstein
Drama History,https://m.media-amazon.com/images/M/MV5BZTcyMGU4ZmYtYTVmYS00NWFkLWExM2MtYWRlYTlhOWYxNjYwXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,tt0002101,The fabled queen of Egypt's affair with Roman general Marc Antony is ulimately disastrous for both of them.,2.5,13/11/12,88,Cleopatra
Crime Drama,https://m.media-amazon.com/images/M/MV5BODZkMjYwYWItZTk4Mi00NmU3LThhMzUtODFkOTI5ZGVmNGIzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,tt0002381,"The film is about a poor married couple living in New York City. The husband works as a musician and must travel often for work. When returning, his wallet is taken by a gangster. His wife goes to a ball where a man tries to drug her, but his attempt is stopped by the same man who robbed the husband. The two criminals become rivals, and a shootout ensues. The husband gets caught in the shootout and recognizes one of the men as the gangster who took his money. The husband sneaks his wallet back and the gangster goes to safety in the couple's apartment. Policemen track the gangster down but the wife gives him a false alibi.",2.916666667,31/10/12,17,The Musketeers of Pig Alley
Animation Comedy,https://m.media-amazon.com/images/M/MV5BMTQxNzI4ODQ3NF5BMl5BanBnXkFtZTgwNzY5NzMwMjE@._V1_SX300.jpg,tt0004008,"Although not the first feature-length animated film, as is sometimes thought, it was the first cartoon to feature a character with an appealing personality. The appearance of a true character distinguished it from earlier animated ""trick films"", such as those of Blackton and Cohl, and makes it the predecessor to later popular cartoons such as those by Walt Disney. The film was also the first to be created using keyframe animation.",3.166666667,15/09/14,12,Gertie the Dinosaur
Drama History,https://m.media-amazon.com/images/M/MV5BNWE4M2M0MGUtMjk4Ni00OGE4LWJkZDUtMWI0ZDJlMDYxZjY5XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,tt0004181,"The story is from the Biblical Book of Judith. During the siege of the Jewish city of Bethulia by the Assyrians led by the brutish Holofernes (Henry Walthall), a widow named Judith (Blanche Sweet) has a plan to stop the war as her people suffer starvation and are ready to surrender.",2,8/03/14,48,Judith of Bethulia
Family Fantasy,https://m.media-amazon.com/images/M/MV5BYjJhYzZlODYtOWE1My00ZmQ2LWJmOGYtOWFhNTAwMTgyODc4XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,tt0004873,A German adaptation of the classic Lewis Carroll story.,2.333333333,15/01/15,52,Alice in Wonderland
Drama History War,https://m.media-amazon.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,tt0004972,"The Birth of A Nation is a silent film from 1915 and the highest grossing silent film in film history. The film tells a romance story during the American civil war. D.W. Griffith invested heavily in its high production values, pioneering many new camera effects. The Birth of a Nation was strongly protested for its negative portrayal of newly freed slaves (mostly white actors in blackface), which went on to create and propagate negative images of blacks of the early 20th century in the United States. The film was used as a recruiting propaganda by the KKK until the 1940s.",2.737467018,8/02/15,193,The Birth of a Nation
Comedy,https://m.media-amazon.com/images/M/MV5BN2RiNDc4MTUtY2I1Mi00MWQ3LWJhNjQtMGEzZmVmZTlmOWM5XkEyXkFqcGdeQXVyNDI4ODM5MDM@._V1_SX300.jpg,tt0005044,"It is windy at a bathing resort. After fighting with one of the two husbands, Charlie approaches Edna while the two husbands themselves fight over ice cream. Driven away by her husband, Charlie turns to the other's wife.",3.451612903,29/04/15,15,By the Sea
Romance Crime Drama,https://m.media-amazon.com/images/M/MV5BNDkxZGU4NmMtODJlNy00YzA2LTg4ZGMtNGFlNzAyNzcxOTM1XkEyXkFqcGdeQXVyOTM3MjcyMjI@._V1_SX300.jpg,tt0005960,"At 10 years old, Owens becomes a ragged orphan when his sainted mother dies. The Conways, who are next door neighbors, take Owen in, but the constant drinking by Jim soon puts Owen on the street. By 17, Owen learns that might is right. By 25, Owen is the leader of his own gang who spend most of their time gambling and drinking. But Marie comes into the gangster area of town and everything changes for Owen as he falls for Marie. But he cannot tell her so, so he comes to her settlement to find education and inspiration. But soon, his old way of life will rise to confront him again.",3.5,12/09/15,72,Regeneration
Comedy,https://m.media-amazon.com/images/M/MV5BYTE3ZWY1YWUtYjc0Zi00YjRlLWI0ZjgtZTlhZmI0NTYyOTJjXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_SX300.jpg,tt0006548,"The tailor's handyman (Chaplin) burns a count's trousers while ironing them and is fired. His superior discovers a note explaining the count can't attend a party, and dresses up like one to take his place. Chaplin also goes to the residence hosting the party, but runs into the tailor. They both then struggle to win the fair maiden, Miss Moneybags. Soon, Charlie is distracted by a gypsy girl and the tailor must fend off other suitors. The real Count finally arrives, learns of the imposters and calls the police.",3.243243243,4/09/16,34,The Count
