"imdb_id","genres","overview","release_date","runtime","title","rating","image_link"
"tt0000399","Adventure Family Fantasy","Porter's sequential continuity editing links several shots to form a narrative of the famous fairy tale story of Jack and his magic beanstalk. Borrowing on cinematographic methods reminiscent of 'Georges Melies' , Porter uses animation, double exposure, and trick photography to illustrate the fairy's apparitions, Jack's dream, and the fast growing beanstalk.","1902-06-20",10,"Jack and the Beanstalk",3.41666666666667,"https://m.media-amazon.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg"
"tt0000439","Action Adventure Western","The clerk at the train station is assaulted and left tied by four men, then they rob the train threatening the operator. (They) take all the money and shoot a passenger when trying to run away. A little girl discovers the clerk tied and gives notice to the sheriff, who at once goes along with his men hunting the bandits.","1903-12-01",12,"The Great Train Robbery",3.425,"https://m.media-amazon.com/images/M/MV5BYjgwMTgzNmUtYjA2OC00MjVhLWEzNTEtOWQwNjlmNThhYWMyXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg"
"tt0000524","Documentary","The camera platform was on the front of a New York subway train following another train on the same track. Lighting is provided by a specially constructed work car on a parallel track. At the time of filming, the subway was only seven months old, having opened on October 27, 1904. The ride begins at 14th Street (Union Square) following the route of today's east side IRT, and ends at the old Grand Central Station, built by Cornelius Vanderbuilt in 1869. The Grand Central Station in use today was not completed until 1913.","1905-06-05",6,"New York Subway",3.90909090909091,"https://m.media-amazon.com/images/M/MV5BYTRlNmNhMmQtMjc5NS00Yzk5LWI0NjMtNzA0MTM1YmZmY2Q5L2ltYWdlXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg"
"tt0001223","Horror ScienceFiction","Frankenstein, a young medical student, trying to create the perfect human being, instead creates a misshapen monster. Made ill by what he has done, Frankenstein is comforted by his fiancée but on his wedding night he is visited by the monster. A fight ensues but the monster, seeing himself in a mirror, is horrified and runs away. He later returns, entering the bride's room, and finds her alone…","1910-03-18",13,"Frankenstein",3.50202156334232,"https://m.media-amazon.com/images/M/MV5BMTg2NjMyMjgxOF5BMl5BanBnXkFtZTgwOTMyNzM2MzE@._V1_SX300.jpg"
"tt0002101","Drama History","The fabled queen of Egypt's affair with Roman general Marc Antony is ulimately disastrous for both of them.","1912-11-13",88,"Cleopatra",2.5,"https://m.media-amazon.com/images/M/MV5BZTcyMGU4ZmYtYTVmYS00NWFkLWExM2MtYWRlYTlhOWYxNjYwXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg"
"tt0002381","Crime Drama","The film is about a poor married couple living in New York City. The husband works as a musician and must travel often for work. When returning, his wallet is taken by a gangster. His wife goes to a ball where a man tries to drug her, but his attempt is stopped by the same man who robbed the husband. The two criminals become rivals, and a shootout ensues. The husband gets caught in the shootout and recognizes one of the men as the gangster who took his money. The husband sneaks his wallet back and the gangster goes to safety in the couple's apartment. Policemen track the gangster down but the wife gives him a false alibi.","1912-10-31",17,"The Musketeers of Pig Alley",2.91666666666667,"https://m.media-amazon.com/images/M/MV5BODZkMjYwYWItZTk4Mi00NmU3LThhMzUtODFkOTI5ZGVmNGIzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg"
"tt0004008","Animation Comedy","Although not the first feature-length animated film, as is sometimes thought, it was the first cartoon to feature a character with an appealing personality. The appearance of a true character distinguished it from earlier animated ""trick films"", such as those of Blackton and Cohl, and makes it the predecessor to later popular cartoons such as those by Walt Disney. The film was also the first to be created using keyframe animation.","1914-09-15",12,"Gertie the Dinosaur",3.16666666666667,"https://m.media-amazon.com/images/M/MV5BMTQxNzI4ODQ3NF5BMl5BanBnXkFtZTgwNzY5NzMwMjE@._V1_SX300.jpg"
"tt0004181","Drama History","The story is from the Biblical Book of Judith. During the siege of the Jewish city of Bethulia by the Assyrians led by the brutish Holofernes (Henry Walthall), a widow named Judith (Blanche Sweet) has a plan to stop the war as her people suffer starvation and are ready to surrender.","1914-03-08",48,"Judith of Bethulia",2,"https://m.media-amazon.com/images/M/MV5BNWE4M2M0MGUtMjk4Ni00OGE4LWJkZDUtMWI0ZDJlMDYxZjY5XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg"
"tt0004873","Family Fantasy","A German adaptation of the classic Lewis Carroll story.","1915-01-15",52,"Alice in Wonderland",2.33333333333333,"https://m.media-amazon.com/images/M/MV5BYjJhYzZlODYtOWE1My00ZmQ2LWJmOGYtOWFhNTAwMTgyODc4XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg"
"tt0004972","Drama History War","The Birth of A Nation is a silent film from 1915 and the highest grossing silent film in film history. The film tells a romance story during the American civil war. D.W. Griffith invested heavily in its high production values, pioneering many new camera effects. The Birth of a Nation was strongly protested for its negative portrayal of newly freed slaves (mostly white actors in blackface), which went on to create and propagate negative images of blacks of the early 20th century in the United States. The film was used as a recruiting propaganda by the KKK until the 1940s.","1915-02-08",193,"The Birth of a Nation",2.73746701846966,"https://m.media-amazon.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg"
